endpoint,endpoint_string,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,ratio_10,ratio,phecode_category
phecode_700,Diffuse diseases of connective tissue,74,110,131,158,172,192,253,338,391,989,0.0014796744716162444,0.0021995600879824036,0.00261973802619738,0.003159747220222382,0.0034399312013759726,0.0038401536061442457,0.005060404832386591,0.006760811297355683,0.007821564312862572,0.019784352557562664,13.370746699409006,Musc/Skel
phecode_247-71,Hemochromatosis,13,42,46,66,66,67,94,87,88,174,2.588403950302644e-4,8.362868862251603e-4,9.159514943947751e-4,0.0013142436129751688,0.001314269783742881,0.0013342095306370352,0.0018720251727640253,0.0017326535489524417,0.001752708731676227,0.0034657902599342697,13.389680770379906,Metab
phecode_712-4,Ankylosis of joint,5,11,6,12,11,13,7,30,16,67,9.9504467750602e-5,2.1891854240054133e-4,1.1941724385001195e-4,2.3885350318471338e-4,2.1895340273492706e-4,2.587682630677973e-4,1.3934507813277594e-4,5.972050802245491e-4,3.1852205765249244e-4,0.0013338907802265623,13.405335563120905,Musc/Skel
phecode_340,Myopathies,12,14,18,20,36,44,43,45,73,161,2.3885825752901132e-4,2.7867906124967655e-4,3.583159151985667e-4,3.981446459498736e-4,7.16674629718108e-4,8.759879750741604e-4,8.560962013219718e-4,8.959324666016286e-4,0.001453517312784979,0.00320589406610912,13.421742665604674,Neuro
phecode_666-1,Allergic urticaria,26,69,84,108,119,134,154,182,254,349,5.197401299350324e-4,0.0013793379177994562,0.0016792946962275845,0.0021592226798352594,0.0023791910750344883,0.0026791962411276617,0.0030793225490392115,0.003639490471334013,0.005079288899554063,0.006979302069793021,13.428445616976765,Derm
phecode_159-1,Genetic susceptibility to malignant neoplasm of breast,7,12,9,13,19,25,25,35,32,94,1.3930348258706467e-4,2.3881547524279574e-4,1.7911160643209679e-4,2.587219137460943e-4,3.7815460552503784e-4,4.975817526819657e-4,4.976312751303794e-4,6.967115216179633e-4,6.370314335197978e-4,0.0018713915986462275,13.433918261710419,Neoplasms
phecode_374-38,Retinal vein occlusions,45,80,144,164,238,254,290,361,470,605,8.969861266145751e-4,0.0015946420028703557,0.002870527260041862,0.003269602663529975,0.004744911182439841,0.00506419969694553,0.005782075565746187,0.007197974198951209,0.009371510607752433,0.012064049133581925,13.449538154078622,Eye
phecode_280-12,Alcohol dependence,159,252,299,354,390,457,583,674,978,2139,0.0031977153430002214,0.005068484885054004,0.006014281404002816,0.007120730578911373,0.007845188284518828,0.009193321263327298,0.01172849440733886,0.013559731219571079,0.019676484789956542,0.043035631652012955,13.458243475679497,Mental
phecode_468,Pneumonia,742,1057,1276,1580,1687,2154,2658,3945,4887,9995,0.015126495831039895,0.021549439347604483,0.02601533191975208,0.0322139988174608,0.034396281042286835,0.043918850035681516,0.05419733703076892,0.08044453507340946,0.09965740854031567,0.2038339961252167,13.47529516432649,Resp
phecode_381-81,Esophoria,2,3,11,8,7,11,3,9,24,27,3.980099502487562e-5,5.97026806503612e-5,2.189272564434272e-4,1.59226160858229e-4,1.3932566378726963e-4,2.1895776105736693e-4,5.971931919976112e-5,1.7916152406736473e-4,4.777735751398483e-4,5.375166729708746e-4,13.505106408393223,Eye
