endpoint,phecode_string,phecode_category,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events
phecode_614-54,Abscess or ulceration of vulva,Genitourinary,"0.582 (0.541, 0.604)","0.725 (0.696, 0.757)","0.145 (0.095, 0.19)",0.145,+,374
phecode_614-55,Candidiasis of vulva and vagina,Genitourinary,"0.813 (0.78, 0.835)","0.715 (0.686, 0.75)","-0.1 (-0.144, -0.051)",-0.1,-,162
phecode_615,Endometriosis,Genitourinary,"0.636 (0.616, 0.651)","0.787 (0.77, 0.804)","0.153 (0.139, 0.167)",0.153,+,872
phecode_617,Fistula involving female genital tract,Genitourinary,"0.598 (0.525, 0.64)","0.689 (0.639, 0.755)","0.099 (0.013, 0.19)",0.099,+,133
phecode_618,Genital prolapse,Genitourinary,"0.613 (0.601, 0.631)","0.737 (0.726, 0.752)","0.123 (0.106, 0.148)",0.123,+,1390
phecode_618-1,Prolapse of vaginal walls,Genitourinary,"0.625 (0.613, 0.642)","0.74 (0.73, 0.758)","0.115 (0.098, 0.145)",0.115,+,1297
phecode_618-11,Cystocele,Genitourinary,"0.65 (0.633, 0.672)","0.757 (0.746, 0.772)","0.109 (0.082, 0.129)",0.109,+,876
phecode_618-12,Rectocele,Genitourinary,"0.639 (0.603, 0.672)","0.759 (0.739, 0.786)","0.12 (0.081, 0.164)",0.12,+,453
phecode_618-2,Uterine/Uterovaginal prolapse,Genitourinary,"0.663 (0.644, 0.693)","0.765 (0.744, 0.791)","0.101 (0.081, 0.13)",0.101,+,502
phecode_618-5,Prolapse of vaginal vault after hysterectomy,Genitourinary,"0.767 (0.733, 0.806)","0.81 (0.742, 0.854)","0.037 (-0.029, 0.097)",0.037,ns,121
phecode_619,Noninflammatory female genital disorders,Genitourinary,"0.546 (0.539, 0.551)","0.66 (0.655, 0.666)","0.114 (0.107, 0.124)",0.114,+,13099
phecode_619-2,"Disorders of uterus, NEC",Genitourinary,"0.642 (0.632, 0.649)","0.728 (0.721, 0.733)","0.086 (0.077, 0.095)",0.086,+,6218
phecode_619-3,Noninflammatory disorders of cervix,Genitourinary,"0.56 (0.546, 0.571)","0.719 (0.707, 0.73)","0.161 (0.15, 0.171)",0.161,+,2638
phecode_619-4,Noninflammatory disorders of vagina,Genitourinary,"0.568 (0.559, 0.577)","0.699 (0.692, 0.708)","0.131 (0.12, 0.144)",0.131,+,6914
phecode_619-5,Noninflammatory disorders of vulva and perineum,Genitourinary,"0.554 (0.542, 0.566)","0.727 (0.715, 0.741)","0.174 (0.15, 0.193)",0.174,+,2118
phecode_620,Dysplasia of female genital organs,Genitourinary,"0.652 (0.637, 0.664)","0.764 (0.751, 0.776)","0.113 (0.097, 0.125)",0.113,+,931
phecode_621,Endometrial hyperplasia,Genitourinary,"0.547 (0.512, 0.586)","0.733 (0.696, 0.76)","0.185 (0.139, 0.232)",0.185,+,232
phecode_622,Polyp of female genital organs,Genitourinary,"0.513 (0.493, 0.535)","0.691 (0.666, 0.736)","0.179 (0.146, 0.229)",0.179,+,350
phecode_622-2,Mucous polyp of cervix,Genitourinary,"0.516 (0.493, 0.543)","0.704 (0.669, 0.737)","0.187 (0.156, 0.227)",0.187,+,322
phecode_623,Hypertrophy of female genital organs,Genitourinary,"0.525 (0.51, 0.542)","0.732 (0.718, 0.754)","0.208 (0.182, 0.234)",0.208,+,1181
phecode_624,Symptoms involving female genital tract,Genitourinary,"0.68 (0.656, 0.708)","0.819 (0.797, 0.846)","0.137 (0.112, 0.174)",0.137,+,316
phecode_624-1,Dystrophy of female genital tract,Genitourinary,"0.682 (0.65, 0.72)","0.83 (0.796, 0.865)","0.142 (0.112, 0.189)",0.142,+,200
phecode_624-2,Atrophy of female genital tract,Genitourinary,"0.722 (0.673, 0.769)","0.824 (0.791, 0.857)","0.101 (0.047, 0.142)",0.101,+,107
phecode_625,Pain and other symptoms associated with female genital organs,Genitourinary,"0.614 (0.607, 0.622)","0.71 (0.701, 0.716)","0.095 (0.086, 0.105)",0.095,+,5912
phecode_625-1,Dyspareunia,Genitourinary,"0.637 (0.621, 0.657)","0.796 (0.782, 0.81)","0.158 (0.128, 0.173)",0.158,+,894
phecode_625-3,Vulvodynia,Genitourinary,"0.582 (0.515, 0.65)","0.768 (0.683, 0.832)","0.179 (0.073, 0.282)",0.179,+,101
phecode_626,Disorders of menstruation and other abnormal bleeding from female genital tract,Genitourinary,"0.702 (0.691, 0.708)","0.775 (0.764, 0.781)","0.073 (0.07, 0.076)",0.073,+,5147
phecode_626-1,Irregular menstrual cycle/bleeding,Genitourinary,"0.779 (0.774, 0.786)","0.825 (0.82, 0.832)","0.046 (0.044, 0.049)",0.046,+,3890
phecode_626-11,Absent or infrequent menstruation,Genitourinary,"0.797 (0.783, 0.808)","0.855 (0.841, 0.868)","0.058 (0.051, 0.063)",0.058,+,1252
phecode_626-13,Irregular menstrual cycle,Genitourinary,"0.773 (0.768, 0.778)","0.822 (0.817, 0.827)","0.049 (0.046, 0.052)",0.049,+,3619
phecode_626-14,Irregular menstrual bleeding,Genitourinary,"0.765 (0.739, 0.787)","0.839 (0.808, 0.855)","0.074 (0.064, 0.086)",0.074,+,243
phecode_626-2,Dysmenorrhea,Genitourinary,"0.784 (0.774, 0.794)","0.839 (0.829, 0.85)","0.056 (0.05, 0.06)",0.056,+,914
phecode_627,Menopausal and postmenopausal disorders,Genitourinary,"0.628 (0.623, 0.636)","0.607 (0.6, 0.614)","-0.022 (-0.035, -0.01)",-0.022,-,8089
phecode_627-1,Postmenopausal bleeding,Genitourinary,"0.65 (0.637, 0.661)","0.697 (0.684, 0.71)","0.046 (0.024, 0.064)",0.046,+,1367
phecode_627-2,Symptomatic menopause,Genitourinary,"0.714 (0.709, 0.72)","0.49 (0.484, 0.497)","-0.223 (-0.235, -0.213)",-0.223,-,5769
phecode_627-3,Postmenopausal atrophic vaginitis,Genitourinary,"0.719 (0.709, 0.728)","0.763 (0.748, 0.773)","0.044 (0.026, 0.058)",0.044,+,1893
phecode_627-4,Menorrhagia/Excessive and frequent menstruation,Genitourinary,"0.724 (0.717, 0.731)","0.782 (0.774, 0.79)","0.058 (0.055, 0.061)",0.058,+,1985
phecode_628,Ovarian cyst,Genitourinary,"0.702 (0.692, 0.71)","0.726 (0.713, 0.736)","0.024 (0.011, 0.037)",0.024,+,2794
phecode_628-1,Follicular cyst of ovary,Genitourinary,"0.707 (0.67, 0.741)","0.827 (0.778, 0.855)","0.123 (0.083, 0.152)",0.123,+,137
phecode_628-2,Corpus luteum cyst or hematoma,Genitourinary,"0.702 (0.692, 0.71)","0.726 (0.714, 0.735)","0.024 (0.011, 0.037)",0.024,+,2794
phecode_628-3,polycystic ovary syndrome,Genitourinary,"0.817 (0.8, 0.836)","0.734 (0.72, 0.755)","-0.085 (-0.106, -0.059)",-0.085,-,677
phecode_629,Female infertility,Genitourinary,"0.803 (0.792, 0.814)","0.855 (0.836, 0.864)","0.05 (0.039, 0.058)",0.05,+,651
phecode_660,Infection of the skin,Derm,"0.511 (0.507, 0.518)","0.613 (0.608, 0.619)","0.102 (0.096, 0.106)",0.102,+,17355
phecode_660-1,Fungal infection of the skin,Derm,"0.585 (0.577, 0.59)","0.675 (0.669, 0.684)","0.091 (0.082, 0.1)",0.091,+,6018
phecode_660-11,Candidiasis of skin and nails,Derm,"0.619 (0.566, 0.679)","0.718 (0.663, 0.784)","0.096 (0.027, 0.18)",0.096,+,155
phecode_660-12,Dermatophytosis,Derm,"0.601 (0.593, 0.608)","0.679 (0.673, 0.69)","0.078 (0.069, 0.088)",0.078,+,5490
phecode_660-13,Pityriasis versicolor,Derm,"0.653 (0.628, 0.696)","0.656 (0.629, 0.71)","0.003 (-0.037, 0.048)",0.003,ns,377
phecode_660-2,Bacterial infection of the skin,Derm,"0.517 (0.5, 0.549)","0.66 (0.628, 0.687)","0.144 (0.103, 0.174)",0.144,+,559
phecode_660-21,Impetigo,Derm,"0.522 (0.5, 0.554)","0.661 (0.624, 0.691)","0.14 (0.079, 0.19)",0.14,+,449
phecode_660-4,Carbuncle and furuncle,Derm,"0.547 (0.524, 0.568)","0.725 (0.704, 0.758)","0.177 (0.144, 0.204)",0.177,+,578
phecode_660-6,Cellulitis and abscess,Derm,"0.538 (0.533, 0.543)","0.635 (0.628, 0.639)","0.096 (0.09, 0.103)",0.096,+,12077
phecode_660-7,Pilonidal cyst,Derm,"0.668 (0.626, 0.718)","0.645 (0.607, 0.688)","-0.02 (-0.1, 0.037)",-0.02,ns,176
phecode_661,Viral exanthemata NOS,Derm,"0.527 (0.5, 0.599)","0.59 (0.548, 0.638)","0.06 (-0.023, 0.111)",0.06,ns,163
phecode_662,Rosacea,Derm,"0.592 (0.576, 0.606)","0.699 (0.681, 0.719)","0.106 (0.086, 0.137)",0.106,+,1464
phecode_663,Bullous disorders,Derm,"0.759 (0.716, 0.801)","0.775 (0.745, 0.817)","0.022 (-0.027, 0.085)",0.022,ns,206
phecode_663-6,Acantholytic Disorders*,Derm,"0.832 (0.791, 0.865)","0.883 (0.845, 0.914)","0.054 (0.01, 0.109)",0.054,+,114
phecode_664,Papulosquamous disorders,Derm,"0.609 (0.589, 0.639)","0.692 (0.658, 0.711)","0.082 (0.044, 0.105)",0.082,+,424
phecode_664-1,"Lichen planus, nitidus, or striatus",Derm,"0.69 (0.655, 0.725)","0.728 (0.694, 0.759)","0.037 (0.009, 0.075)",0.037,+,270
phecode_664-2,Pityriasis,Derm,"0.719 (0.67, 0.764)","0.635 (0.537, 0.683)","-0.083 (-0.158, -0.028)",-0.083,-,135
phecode_664-21,Pityriasis rosea,Derm,"0.723 (0.65, 0.776)","0.653 (0.568, 0.708)","-0.06 (-0.189, 0.014)",-0.06,ns,108
phecode_665,Psoriasis,Derm,"0.55 (0.531, 0.565)","0.633 (0.615, 0.647)","0.083 (0.063, 0.101)",0.083,+,1173
phecode_665-1,Psoriasis vulgaris*,Derm,"0.586 (0.539, 0.622)","0.828 (0.786, 0.858)","0.24 (0.178, 0.305)",0.24,+,215
phecode_665-2,Psoriatic arthropathy,Derm,"0.561 (0.528, 0.595)","0.741 (0.705, 0.771)","0.179 (0.14, 0.234)",0.179,+,264
phecode_666,Urticaria,Derm,"0.617 (0.601, 0.634)","0.637 (0.621, 0.653)","0.021 (-0.005, 0.04)",0.021,ns,1772
phecode_666-1,Allergic urticaria,Derm,"0.574 (0.531, 0.624)","0.638 (0.59, 0.703)","0.065 (-0.001, 0.127)",0.065,ns,189
phecode_666-2,Idiopathic urticaria,Derm,"0.663 (0.632, 0.696)","0.697 (0.645, 0.74)","0.032 (-0.03, 0.085)",0.032,ns,212
phecode_666-4,Dermatographic urticaria,Derm,"0.622 (0.57, 0.659)","0.706 (0.671, 0.747)","0.085 (0.015, 0.161)",0.085,+,217
phecode_667,Erythematous conditions,Derm,"0.557 (0.535, 0.571)","0.672 (0.659, 0.686)","0.115 (0.1, 0.131)",0.115,+,1765
phecode_668,Dermatitis [eczema],Derm,"0.551 (0.545, 0.557)","0.647 (0.642, 0.656)","0.096 (0.092, 0.104)",0.096,+,9906
phecode_668-1,Atopic dermatitis,Derm,"0.54 (0.52, 0.564)","0.654 (0.64, 0.671)","0.114 (0.083, 0.147)",0.114,+,1178
phecode_668-2,Seborrheic dermatitis,Derm,"0.506 (0.498, 0.521)","0.657 (0.642, 0.672)","0.15 (0.128, 0.166)",0.15,+,2707
phecode_668-3,Contact dermatitis,Derm,"0.566 (0.556, 0.578)","0.657 (0.647, 0.667)","0.091 (0.08, 0.104)",0.091,+,3559
phecode_668-4,Dermatitis due to substances taken internally,Derm,"0.551 (0.522, 0.577)","0.686 (0.663, 0.707)","0.135 (0.105, 0.165)",0.135,+,625
phecode_668-5,Lichen simplex chronicus,Derm,"0.623 (0.605, 0.645)","0.71 (0.693, 0.725)","0.087 (0.068, 0.112)",0.087,+,905
phecode_668-6,Prurigo,Derm,"0.583 (0.574, 0.592)","0.674 (0.666, 0.689)","0.092 (0.082, 0.101)",0.092,+,4158
phecode_670,Seborrheic keratosis,Derm,"0.694 (0.686, 0.7)","0.751 (0.744, 0.758)","0.057 (0.051, 0.065)",0.057,+,5535
phecode_671,Sunburn,Derm,"0.652 (0.58, 0.716)","0.638 (0.601, 0.694)","-0.017 (-0.106, 0.086)",-0.017,ns,165
phecode_672,Other acute skin changes due to ultraviolet radiation,Derm,"0.72 (0.712, 0.732)","0.715 (0.706, 0.726)","-0.005 (-0.018, 0.009)",-0.005,ns,3390
phecode_673,Skin changes due to chronic exposure to nonionizing radiation,Derm,"0.653 (0.644, 0.659)","0.707 (0.699, 0.711)","0.054 (0.047, 0.059)",0.054,+,7894
phecode_673-1,Actinic keratosis,Derm,"0.663 (0.655, 0.669)","0.714 (0.707, 0.719)","0.051 (0.044, 0.057)",0.051,+,7621
phecode_674,Disorders of pigmentation,Derm,"0.584 (0.579, 0.59)","0.69 (0.679, 0.695)","0.105 (0.097, 0.112)",0.105,+,6287
phecode_674-1,Hypopigmentation,Derm,"0.573 (0.502, 0.618)","0.625 (0.582, 0.685)","0.053 (0.002, 0.114)",0.053,+,226
phecode_674-11,Vitiligo,Derm,"0.544 (0.509, 0.595)","0.632 (0.585, 0.69)","0.087 (0.008, 0.147)",0.087,+,167
phecode_674-2,Hypepigmentation,Derm,"0.557 (0.541, 0.571)","0.71 (0.693, 0.726)","0.154 (0.132, 0.171)",0.154,+,1597
phecode_674-22,Freckles*,Derm,"0.57 (0.513, 0.618)","0.771 (0.711, 0.825)","0.198 (0.102, 0.294)",0.198,+,119
phecode_674-23,Acanthosis nigricans,Derm,"0.695 (0.637, 0.723)","0.602 (0.558, 0.65)","-0.097 (-0.147, -0.019)",-0.097,-,219
phecode_675,Atrophic conditions of skin,Derm,"0.691 (0.669, 0.717)","0.729 (0.699, 0.744)","0.037 (0.011, 0.061)",0.037,+,814
phecode_675-1,Circumscribed scleroderma,Derm,"0.763 (0.742, 0.777)","0.757 (0.731, 0.785)","-0.002 (-0.027, 0.03)",-0.002,ns,356
phecode_676,Hypertrophic conditions of skin,Derm,"0.577 (0.568, 0.583)","0.676 (0.668, 0.684)","0.099 (0.089, 0.11)",0.099,+,7195
phecode_676-1,Hypertrophic scar [Keloid scar],Derm,"0.54 (0.513, 0.557)","0.672 (0.651, 0.691)","0.133 (0.104, 0.162)",0.133,+,639
phecode_676-2,Scar conditions and fibrosis of skin,Derm,"0.589 (0.572, 0.602)","0.686 (0.676, 0.697)","0.098 (0.083, 0.111)",0.098,+,3202
phecode_678,Other skin and connective tissue disorders,Derm,"0.51 (0.505, 0.514)","0.585 (0.58, 0.589)","0.075 (0.068, 0.08)",0.075,+,20069
phecode_679,Skin symptoms,Derm,"0.541 (0.532, 0.546)","0.619 (0.612, 0.625)","0.079 (0.065, 0.089)",0.079,+,13008
phecode_679-1,Rash and other nonspecific skin eruption,Derm,"0.54 (0.533, 0.547)","0.621 (0.613, 0.628)","0.082 (0.07, 0.094)",0.082,+,11042
phecode_679-2,Pallor and flushing,Derm,"0.642 (0.63, 0.658)","0.698 (0.678, 0.715)","0.055 (0.036, 0.072)",0.055,+,1475
phecode_679-21,Pallor,Derm,"0.566 (0.515, 0.625)","0.667 (0.597, 0.717)","0.103 (-0.006, 0.175)",0.103,ns,112
phecode_679-22,Flushing,Derm,"0.65 (0.638, 0.662)","0.737 (0.72, 0.751)","0.086 (0.069, 0.102)",0.086,+,1375
phecode_679-3,Changes in skin texture,Derm,"0.617 (0.593, 0.635)","0.731 (0.708, 0.75)","0.115 (0.097, 0.145)",0.115,+,923
phecode_679-4,Pruritus,Derm,"0.577 (0.566, 0.586)","0.662 (0.651, 0.677)","0.085 (0.074, 0.095)",0.085,+,4902
phecode_679-5,Pyoderma,Derm,"0.562 (0.549, 0.582)","0.647 (0.629, 0.665)","0.083 (0.054, 0.107)",0.083,+,1527
phecode_679-7,"Abnormal granulation tissue, NOS",Derm,"0.569 (0.535, 0.605)","0.652 (0.618, 0.682)","0.083 (0.049, 0.115)",0.083,+,398
phecode_680,Epidermal thickening,Derm,"0.658 (0.652, 0.665)","0.699 (0.691, 0.705)","0.04 (0.034, 0.048)",0.04,+,7528
phecode_680-1,Corns and callosities,Derm,"0.628 (0.616, 0.64)","0.735 (0.718, 0.746)","0.105 (0.092, 0.123)",0.105,+,1913
phecode_680-2,Keratoderma,Derm,"0.694 (0.685, 0.701)","0.62 (0.612, 0.63)","-0.074 (-0.081, -0.059)",-0.074,-,5482
phecode_680-3,Xerosis cutis*,Derm,"0.661 (0.649, 0.677)","0.743 (0.729, 0.752)","0.081 (0.068, 0.092)",0.081,+,2529
phecode_681,"Localized swelling, mass and lump of skin and subcutaneous tissue",Derm,"0.549 (0.544, 0.553)","0.588 (0.583, 0.595)","0.04 (0.036, 0.048)",0.04,+,19113
phecode_682,Other follicular disorders,Derm,"0.532 (0.524, 0.539)","0.634 (0.627, 0.641)","0.102 (0.093, 0.112)",0.102,+,8327
phecode_682-1,Cutaneous cyst,Derm,"0.586 (0.576, 0.596)","0.702 (0.691, 0.716)","0.116 (0.102, 0.127)",0.116,+,2928
phecode_682-11,Sebaceous cyst [Epidermal cyst],Derm,"0.587 (0.577, 0.598)","0.705 (0.693, 0.719)","0.119 (0.101, 0.129)",0.119,+,2813
phecode_682-12,Pilar and trichodermal cyst,Derm,"0.566 (0.549, 0.583)","0.686 (0.673, 0.705)","0.119 (0.101, 0.139)",0.119,+,1644
phecode_682-3,Hidradenitis suppurativa,Derm,"0.706 (0.672, 0.73)","0.74 (0.72, 0.775)","0.034 (0.001, 0.07)",0.034,+,433
phecode_682-4,Acne,Derm,"0.695 (0.68, 0.713)","0.613 (0.593, 0.63)","-0.083 (-0.115, -0.061)",-0.083,-,2185
phecode_683,Nail disorders,Derm,"0.604 (0.596, 0.611)","0.696 (0.688, 0.703)","0.092 (0.082, 0.099)",0.092,+,5967
phecode_683-1,Ingrowing nail,Derm,"0.581 (0.566, 0.598)","0.734 (0.721, 0.752)","0.151 (0.138, 0.175)",0.151,+,1554
phecode_683-2,Nail dystrophy*,Derm,"0.654 (0.643, 0.669)","0.762 (0.753, 0.775)","0.108 (0.096, 0.127)",0.108,+,1644
phecode_683-4,Onycholysis*,Derm,"0.64 (0.608, 0.676)","0.753 (0.724, 0.789)","0.114 (0.066, 0.146)",0.114,+,281
phecode_684,Diseases of hair and hair follicles,Derm,"0.638 (0.628, 0.647)","0.691 (0.683, 0.704)","0.054 (0.042, 0.066)",0.054,+,2994
phecode_684-1,Alopecia,Derm,"0.623 (0.613, 0.637)","0.696 (0.685, 0.708)","0.072 (0.057, 0.086)",0.072,+,2661
phecode_684-11,Alopecia Areata,Derm,"0.631 (0.592, 0.683)","0.657 (0.604, 0.73)","0.026 (-0.047, 0.113)",0.026,ns,183
phecode_684-12,Telogen effluvium,Derm,"0.682 (0.673, 0.709)","0.779 (0.755, 0.804)","0.097 (0.068, 0.129)",0.097,+,305
phecode_684-13,Scarring hair loss*,Derm,"0.652 (0.607, 0.687)","0.739 (0.698, 0.794)","0.089 (0.011, 0.145)",0.089,+,154
phecode_684-14,Androgenic alopecia*,Derm,"0.557 (0.49, 0.61)","0.682 (0.657, 0.72)","0.129 (0.085, 0.184)",0.129,+,376
phecode_684-2,Hypertrichosis and hirsutism,Derm,"0.778 (0.745, 0.803)","0.722 (0.678, 0.748)","-0.059 (-0.096, -0.022)",-0.059,-,422
phecode_685,Disorders of sweat glands,Derm,"0.521 (0.505, 0.534)","0.69 (0.668, 0.702)","0.169 (0.144, 0.184)",0.169,+,2074
phecode_685-8,Hyperhidrosis,Derm,"0.519 (0.506, 0.532)","0.689 (0.669, 0.701)","0.17 (0.148, 0.185)",0.17,+,1889
phecode_685-82,Generalized hyperhidrosis,Derm,"0.519 (0.506, 0.532)","0.689 (0.669, 0.701)","0.17 (0.148, 0.185)",0.17,+,1889
phecode_686,Chronic ulcer of skin,Derm,"0.649 (0.634, 0.656)","0.792 (0.783, 0.805)","0.144 (0.132, 0.163)",0.144,+,2582
phecode_686-1,Pressure ulcer,Derm,"0.672 (0.655, 0.688)","0.834 (0.822, 0.847)","0.162 (0.143, 0.181)",0.162,+,911
phecode_686-2,Non-pressure chronic ulcer,Derm,"0.648 (0.633, 0.656)","0.798 (0.788, 0.811)","0.151 (0.138, 0.171)",0.151,+,2571
phecode_688,Granulomatous disorder of the skin,Derm,"0.565 (0.537, 0.588)","0.627 (0.606, 0.659)","0.063 (0.024, 0.105)",0.063,+,545
phecode_688-1,Sarcoidosis,Derm,"0.559 (0.529, 0.61)","0.619 (0.576, 0.665)","0.055 (-0.009, 0.13)",0.055,ns,236
phecode_688-3,Pyogenic granuloma of skin and subcutaneous tissue,Derm,"0.556 (0.502, 0.623)","0.653 (0.615, 0.728)","0.1 (0.046, 0.147)",0.1,+,114
phecode_700,Diffuse diseases of connective tissue,Musc/Skel,"0.587 (0.573, 0.607)","0.671 (0.66, 0.684)","0.083 (0.058, 0.102)",0.083,+,2114
phecode_700-1,Lupus,Musc/Skel,"0.648 (0.623, 0.67)","0.705 (0.669, 0.726)","0.058 (0.019, 0.096)",0.058,+,485
phecode_700-11,Systemic lupus erythematosus [SLE],Musc/Skel,"0.646 (0.617, 0.678)","0.731 (0.703, 0.753)","0.084 (0.037, 0.136)",0.084,+,472
phecode_700-12,Cutaneous lupus erythematosus,Musc/Skel,"0.647 (0.623, 0.67)","0.568 (0.534, 0.597)","-0.076 (-0.119, -0.03)",-0.076,-,483
phecode_700-2,Sicca syndrome [Sjogren syndrome],Musc/Skel,"0.66 (0.644, 0.673)","0.722 (0.703, 0.75)","0.063 (0.043, 0.089)",0.063,+,1009
phecode_700-3,Systemic sclerosis,Musc/Skel,"0.68 (0.603, 0.715)","0.77 (0.706, 0.828)","0.093 (0.032, 0.129)",0.093,+,100
phecode_700-4,Inflammatory myopathy,Musc/Skel,"0.533 (0.505, 0.559)","0.668 (0.645, 0.688)","0.134 (0.111, 0.16)",0.134,+,733
phecode_700-41,Myositis,Musc/Skel,"0.533 (0.506, 0.56)","0.672 (0.649, 0.694)","0.138 (0.115, 0.161)",0.138,+,729
phecode_700-43,Polymyositis,Musc/Skel,"0.635 (0.564, 0.691)","0.721 (0.653, 0.773)","0.085 (0.026, 0.16)",0.085,+,104
phecode_700-9,Other diffuse diseases of connective tissue,Musc/Skel,"0.61 (0.574, 0.665)","0.766 (0.728, 0.811)","0.155 (0.078, 0.214)",0.155,+,200
phecode_701,"Osteomyelitis, periostitis, and other infections involving bone",Musc/Skel,"0.626 (0.608, 0.641)","0.801 (0.782, 0.815)","0.176 (0.152, 0.202)",0.176,+,1187
phecode_701-1,Osteomyelitis,Musc/Skel,"0.625 (0.607, 0.64)","0.802 (0.782, 0.816)","0.177 (0.153, 0.202)",0.177,+,1181
phecode_701-11,Acute/subacute osteomyelitis,Musc/Skel,"0.645 (0.619, 0.673)","0.858 (0.835, 0.88)","0.213 (0.184, 0.254)",0.213,+,524
phecode_701-12,Chronic osteomyelitis,Musc/Skel,"0.62 (0.583, 0.651)","0.892 (0.873, 0.918)","0.274 (0.229, 0.304)",0.274,+,389
phecode_702,Infective and reactive arthropathies,Musc/Skel,"0.621 (0.598, 0.644)","0.756 (0.719, 0.776)","0.137 (0.092, 0.162)",0.137,+,580
phecode_702-1,Pyogenic arthritis [Septic arthritis],Musc/Skel,"0.645 (0.609, 0.674)","0.79 (0.756, 0.817)","0.149 (0.105, 0.171)",0.149,+,507
phecode_703,Chrystal arthropathies,Musc/Skel,"0.712 (0.697, 0.725)","0.766 (0.751, 0.775)","0.054 (0.038, 0.066)",0.054,+,2335
phecode_703-1,Hyperuricemia,Musc/Skel,"0.705 (0.687, 0.721)","0.777 (0.759, 0.79)","0.071 (0.057, 0.086)",0.071,+,1862
phecode_703-11,Gout,Musc/Skel,"0.709 (0.693, 0.723)","0.778 (0.76, 0.794)","0.069 (0.053, 0.088)",0.069,+,1684
phecode_703-2,Chondrocalcinosis,Musc/Skel,"0.794 (0.777, 0.806)","0.824 (0.801, 0.844)","0.031 (0.016, 0.056)",0.031,+,588
phecode_704,Systemic vasculitis,Musc/Skel,"0.585 (0.572, 0.6)","0.67 (0.657, 0.684)","0.085 (0.072, 0.098)",0.085,+,1585
phecode_704-5,Giant cell arteritis,Musc/Skel,"0.772 (0.751, 0.812)","0.811 (0.786, 0.844)","0.039 (0.017, 0.057)",0.039,+,167
phecode_705,Rheumatoid arthritis and other inflammatory polyarthropathies,Musc/Skel,"0.648 (0.637, 0.659)","0.72 (0.706, 0.731)","0.072 (0.055, 0.083)",0.072,+,1986
phecode_705-1,Rheumatoid arthritis,Musc/Skel,"0.649 (0.631, 0.665)","0.736 (0.721, 0.756)","0.089 (0.068, 0.115)",0.089,+,1200
phecode_705-3,Polymyalgia rheumatica,Musc/Skel,"0.782 (0.754, 0.812)","0.8 (0.777, 0.827)","0.017 (0.006, 0.03)",0.017,+,266
phecode_706,Other inflammatory spondylopathies,Musc/Skel,"0.64 (0.63, 0.652)","0.763 (0.751, 0.773)","0.124 (0.107, 0.135)",0.124,+,2661
phecode_706-1,Sacroiliitis NEC,Musc/Skel,"0.628 (0.614, 0.648)","0.759 (0.745, 0.782)","0.131 (0.104, 0.147)",0.131,+,1161
phecode_706-2,Ankylosing spondylitis,Musc/Skel,"0.538 (0.509, 0.59)","0.742 (0.711, 0.794)","0.205 (0.16, 0.255)",0.205,+,154
phecode_706-6,Discitis*,Musc/Skel,"0.646 (0.582, 0.678)","0.778 (0.726, 0.824)","0.13 (0.082, 0.187)",0.13,+,140
phecode_707,Other arthropathies,Musc/Skel,"0.6 (0.596, 0.607)","0.639 (0.634, 0.643)","0.039 (0.034, 0.043)",0.039,+,16220
phecode_707-4,Arthropathy associated with neurological disorders,Musc/Skel,"0.628 (0.586, 0.67)","0.892 (0.84, 0.918)","0.264 (0.213, 0.319)",0.264,+,217
phecode_707-8,Polyarthritis,Musc/Skel,"0.648 (0.636, 0.663)","0.744 (0.731, 0.758)","0.097 (0.078, 0.115)",0.097,+,1208
phecode_708,Osteoarthritis,Musc/Skel,"0.661 (0.657, 0.664)","0.704 (0.7, 0.71)","0.044 (0.039, 0.048)",0.044,+,15136
phecode_708-1,Primary osteoarthritis,Musc/Skel,"0.684 (0.679, 0.689)","0.755 (0.751, 0.76)","0.071 (0.066, 0.077)",0.071,+,9105
phecode_708-11,"Primary osteoarthritis of hip, pelvic region and thigh",Musc/Skel,"0.73 (0.69, 0.752)","0.75 (0.716, 0.783)","0.021 (0.001, 0.042)",0.021,+,314
phecode_708-12,"Primary osteoarthritis of knee, lower leg",Musc/Skel,"0.615 (0.602, 0.633)","0.72 (0.703, 0.731)","0.104 (0.08, 0.119)",0.104,+,1330
phecode_708-13,Primary osteoarthritis of the hand,Musc/Skel,"0.732 (0.725, 0.738)","0.783 (0.777, 0.793)","0.051 (0.044, 0.061)",0.051,+,3529
phecode_708-14,"Primary osteoarthritis of the shoulder, upper arm",Musc/Skel,"0.688 (0.682, 0.696)","0.767 (0.761, 0.773)","0.079 (0.071, 0.088)",0.079,+,4748
phecode_708-15,"Primary osteoarthritis of the wrist, forearm",Musc/Skel,"0.732 (0.724, 0.74)","0.795 (0.783, 0.804)","0.063 (0.055, 0.072)",0.063,+,2471
phecode_708-16,Primary osteoarthritis ankle and foot,Musc/Skel,"0.696 (0.69, 0.701)","0.755 (0.749, 0.76)","0.059 (0.053, 0.067)",0.059,+,8025
phecode_708-7,Generalized osteoarthritis,Musc/Skel,"0.711 (0.698, 0.72)","0.766 (0.752, 0.775)","0.056 (0.045, 0.067)",0.056,+,1885
