endpoint,phecode_string,phecode_category,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events
phecode_326-1,Multiple sclerosis,Neuro,"0.622 (0.587, 0.655)","0.707 (0.656, 0.744)","0.081 (0.037, 0.135)",0.081,+,254
phecode_327,Other degenerative diseases of nervous system,Neuro,"0.719 (0.694, 0.755)","0.782 (0.746, 0.822)","0.064 (0.029, 0.096)",0.064,+,224
phecode_328,Dementias and cerebral degeneration,Neuro,"0.715 (0.689, 0.73)","0.746 (0.723, 0.76)","0.031 (0.023, 0.037)",0.031,+,1535
phecode_328-1,Alzheimer's disease,Neuro,"0.869 (0.857, 0.883)","0.881 (0.869, 0.896)","0.012 (0.004, 0.019)",0.012,+,307
phecode_328-7,Vascular dementia,Neuro,"0.827 (0.804, 0.845)","0.886 (0.866, 0.903)","0.059 (0.048, 0.073)",0.059,+,259
phecode_328-8,Dementia in conditions classified elsewhere,Neuro,"0.828 (0.808, 0.844)","0.857 (0.834, 0.872)","0.029 (0.02, 0.043)",0.029,+,492
phecode_328-9,Dementia NOS,Neuro,"0.714 (0.689, 0.729)","0.75 (0.728, 0.762)","0.036 (0.026, 0.042)",0.036,+,1527
phecode_329,Symptoms and signs involving cognitive functions and awareness,Neuro,"0.595 (0.589, 0.602)","0.671 (0.666, 0.678)","0.076 (0.072, 0.08)",0.076,+,10473
phecode_329-1,Memory loss,Neuro,"0.689 (0.681, 0.703)","0.747 (0.736, 0.756)","0.057 (0.045, 0.066)",0.057,+,3194
phecode_329-4,Other specified cognitive deficit,Neuro,"0.59 (0.557, 0.613)","0.679 (0.65, 0.702)","0.09 (0.058, 0.118)",0.09,+,615
phecode_329-41,Attention and concentration deficit,Neuro,"0.655 (0.594, 0.701)","0.703 (0.642, 0.751)","0.046 (-0.031, 0.131)",0.046,ns,114
phecode_329-42,Cognitive communication deficit,Neuro,"0.644 (0.623, 0.673)","0.705 (0.677, 0.737)","0.06 (0.034, 0.088)",0.06,+,504
