endpoint,phecode_string,phecode_category,Age+Sex,Age+Sex+MedicalHistory,delta_agesex,sign_agesex,delta_median_agesex,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events,sign_agg,label
phecode_608,Other disorders of male genital organs,Genitourinary,"0.512 (0.507, 0.516)","0.668 (0.665, 0.672)","0.157 (0.152, 0.162)",+,0.157,"0.639 (0.628, 0.646)","0.508 (0.503, 0.513)","-0.13 (-0.14, -0.115)",-0.13,-,18139,UKB: + | AoU: -,+-
phecode_608-1,Abnormal findings in semen,Genitourinary,"0.818 (0.815, 0.821)","0.87 (0.868, 0.872)","0.052 (0.05, 0.054)",+,0.052,"0.892 (0.883, 0.897)","0.9 (0.895, 0.908)","0.009 (0.005, 0.013)",0.009,+,1387,UKB: + | AoU: +,++
phecode_609,Male infertility,Genitourinary,"0.867 (0.852, 0.887)","0.875 (0.861, 0.9)","0.009 (0, 0.018)",ns,0.009,"0.779 (0.744, 0.803)","0.796 (0.778, 0.81)","0.016 (-0.007, 0.045)",0.016,ns,775,UKB: ns | AoU: ns,nsns
phecode_610,Benign mammary dysplasias,Genitourinary,"0.644 (0.637, 0.655)","0.692 (0.683, 0.699)","0.047 (0.042, 0.054)",+,0.047,"0.545 (0.534, 0.558)","0.693 (0.679, 0.703)","0.148 (0.129, 0.163)",0.148,+,2084,UKB: + | AoU: +,++
phecode_610-1,Cystic mastopathy,Genitourinary,"0.678 (0.667, 0.688)","0.728 (0.72, 0.736)","0.05 (0.043, 0.058)",+,0.05,"0.533 (0.522, 0.547)","0.69 (0.674, 0.706)","0.158 (0.136, 0.183)",0.158,+,1679,UKB: + | AoU: +,++
phecode_610-2,Fibroadenosis of breast,Genitourinary,"0.639 (0.605, 0.682)","0.673 (0.645, 0.712)","0.034 (0.003, 0.055)",+,0.034,"0.575 (0.534, 0.616)","0.713 (0.67, 0.761)","0.139 (0.087, 0.206)",0.139,+,177,UKB: + | AoU: +,++
phecode_610-3,Fibrosclerosis of breast,Genitourinary,"0.54 (0.497, 0.588)","0.628 (0.583, 0.666)","0.089 (0.051, 0.143)",+,0.089,"0.579 (0.553, 0.613)","0.785 (0.75, 0.819)","0.206 (0.151, 0.248)",0.206,+,232,UKB: + | AoU: +,++
phecode_610-5,Mammary duct ectasia,Genitourinary,"0.429 (0.398, 0.462)","0.614 (0.579, 0.647)","0.185 (0.143, 0.241)",+,0.185,"0.518 (0.494, 0.558)","0.735 (0.676, 0.792)","0.218 (0.129, 0.279)",0.218,+,107,UKB: + | AoU: +,++
phecode_612,"Breast conditions, congenital or relating to hormones",Genitourinary,"0.622 (0.598, 0.667)","0.641 (0.615, 0.679)","0.017 (-0.004, 0.038)",ns,0.017,"0.594 (0.57, 0.611)","0.623 (0.608, 0.645)","0.032 (0.008, 0.053)",0.032,+,926,UKB: ns | AoU: +,ns+
phecode_612-2,Hypertrophy of breast (Gynecomastia),Genitourinary,"0.568 (0.524, 0.6)","0.587 (0.544, 0.611)","0.018 (-0.023, 0.045)",ns,0.018,"0.552 (0.531, 0.573)","0.611 (0.594, 0.638)","0.06 (0.036, 0.084)",0.06,+,810,UKB: ns | AoU: +,ns+
phecode_613,Other nonmalignant breast conditions,Genitourinary,"0.528 (0.524, 0.534)","0.699 (0.696, 0.702)","0.17 (0.167, 0.175)",+,0.17,"0.539 (0.531, 0.546)","0.682 (0.674, 0.689)","0.144 (0.132, 0.155)",0.144,+,6853,UKB: + | AoU: +,++
phecode_613-1,Inflammatory disease of breast,Genitourinary,"0.566 (0.551, 0.58)","0.689 (0.673, 0.704)","0.124 (0.108, 0.138)",+,0.124,"0.546 (0.516, 0.571)","0.719 (0.704, 0.735)","0.174 (0.144, 0.2)",0.174,+,803,UKB: + | AoU: +,++
phecode_613-5,Mastodynia,Genitourinary,"0.537 (0.532, 0.541)","0.723 (0.72, 0.728)","0.186 (0.182, 0.193)",+,0.186,"0.508 (0.498, 0.52)","0.723 (0.713, 0.734)","0.216 (0.193, 0.232)",0.216,+,2818,UKB: + | AoU: +,++
phecode_613-7,Other signs and symptoms in breast,Genitourinary,"0.422 (0.414, 0.431)","0.676 (0.669, 0.683)","0.254 (0.242, 0.266)",+,0.254,"0.514 (0.501, 0.532)","0.736 (0.716, 0.755)","0.223 (0.201, 0.239)",0.223,+,1192,UKB: + | AoU: +,++
phecode_613-8,Other specified disorders of breast,Genitourinary,"0.513 (0.478, 0.531)","0.647 (0.628, 0.667)","0.134 (0.103, 0.164)",+,0.134,"0.644 (0.632, 0.654)","0.762 (0.747, 0.774)","0.117 (0.102, 0.135)",0.117,+,1887,UKB: + | AoU: +,++
phecode_614,Inflammatory diseases of female pelvic organs,Genitourinary,"0.551 (0.546, 0.556)","0.698 (0.694, 0.702)","0.147 (0.141, 0.151)",+,0.147,"0.557 (0.549, 0.571)","0.706 (0.694, 0.713)","0.148 (0.134, 0.161)",0.148,+,5232,UKB: + | AoU: +,++
phecode_614-1,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)",Genitourinary,"0.548 (0.531, 0.561)","0.632 (0.62, 0.651)","0.085 (0.065, 0.101)",+,0.085,"0.623 (0.593, 0.652)","0.791 (0.761, 0.817)","0.168 (0.126, 0.202)",0.168,+,358,UKB: + | AoU: +,++
phecode_614-3,Pelvic inflammatory disease (PID),Genitourinary,"0.661 (0.638, 0.685)","0.669 (0.648, 0.687)","0.007 (-0.011, 0.026)",ns,0.007,"0.553 (0.546, 0.567)","0.68 (0.671, 0.688)","0.126 (0.115, 0.14)",0.126,+,4858,UKB: ns | AoU: +,ns+
phecode_614-32,Chronic inflammatory pelvic disease,Genitourinary,"0.682 (0.65, 0.716)","0.695 (0.663, 0.733)","0.014 (-0.024, 0.046)",ns,0.014,"0.635 (0.604, 0.683)","0.746 (0.718, 0.793)","0.112 (0.057, 0.167)",0.112,+,130,UKB: ns | AoU: +,ns+
phecode_614-33,"Pelvic inflammatory disease, NOS",Genitourinary,"0.646 (0.615, 0.681)","0.679 (0.638, 0.714)","0.03 (-0.005, 0.064)",ns,0.03,"0.553 (0.546, 0.567)","0.672 (0.662, 0.681)","0.118 (0.105, 0.133)",0.118,+,4858,UKB: ns | AoU: +,ns+
phecode_614-4,"Inflammatory diseases of uterus, except cervix",Genitourinary,"0.666 (0.64, 0.695)","0.685 (0.654, 0.707)","0.019 (-0.017, 0.051)",ns,0.019,"0.658 (0.64, 0.68)","0.727 (0.705, 0.751)","0.065 (0.041, 0.099)",0.065,+,715,UKB: ns | AoU: +,ns+
phecode_614-5,"Inflammatory disease of cervix, vagina, and vulva",Genitourinary,"0.549 (0.543, 0.554)","0.716 (0.71, 0.719)","0.167 (0.161, 0.174)",+,0.167,"0.547 (0.539, 0.565)","0.702 (0.692, 0.712)","0.155 (0.14, 0.168)",0.155,+,4837,UKB: + | AoU: +,++
phecode_614-51,Cervicitis and endocervicitis,Genitourinary,"0.645 (0.626, 0.667)","0.667 (0.646, 0.694)","0.022 (0.004, 0.047)",+,0.022,"0.638 (0.614, 0.658)","0.753 (0.732, 0.776)","0.118 (0.095, 0.145)",0.118,+,568,UKB: + | AoU: +,++
phecode_614-52,Vaginitis and vulvovaginitis,Genitourinary,"0.543 (0.537, 0.548)","0.73 (0.724, 0.735)","0.187 (0.181, 0.194)",+,0.187,"0.539 (0.533, 0.556)","0.699 (0.688, 0.711)","0.158 (0.142, 0.174)",0.158,+,4374,UKB: + | AoU: +,++
phecode_614-53,Cyst or abscess of Bartholin's gland,Genitourinary,"0.625 (0.61, 0.641)","0.688 (0.677, 0.709)","0.064 (0.049, 0.078)",+,0.064,"0.628 (0.585, 0.664)","0.731 (0.648, 0.766)","0.099 (0.029, 0.145)",0.099,+,178,UKB: + | AoU: +,++
phecode_614-54,Abscess or ulceration of vulva,Genitourinary,"0.448 (0.427, 0.469)","0.696 (0.685, 0.708)","0.249 (0.221, 0.269)",+,0.249,"0.582 (0.541, 0.604)","0.725 (0.696, 0.757)","0.145 (0.095, 0.19)",0.145,+,374,UKB: + | AoU: +,++
phecode_614-55,Candidiasis of vulva and vagina,Genitourinary,"0.757 (0.755, 0.761)","0.865 (0.863, 0.867)","0.108 (0.104, 0.112)",+,0.108,"0.813 (0.78, 0.835)","0.715 (0.686, 0.75)","-0.1 (-0.144, -0.051)",-0.1,-,162,UKB: + | AoU: -,+-
phecode_615,Endometriosis,Genitourinary,"0.707 (0.687, 0.721)","0.72 (0.706, 0.733)","0.014 (0.005, 0.023)",+,0.014,"0.636 (0.616, 0.651)","0.787 (0.77, 0.804)","0.153 (0.139, 0.167)",0.153,+,872,UKB: + | AoU: +,++
phecode_617,Fistula involving female genital tract,Genitourinary,"0.483 (0.44, 0.514)","0.628 (0.592, 0.666)","0.146 (0.107, 0.196)",+,0.146,"0.598 (0.525, 0.64)","0.689 (0.639, 0.755)","0.099 (0.013, 0.19)",0.099,+,133,UKB: + | AoU: +,++
phecode_618,Genital prolapse,Genitourinary,"0.567 (0.563, 0.57)","0.636 (0.632, 0.64)","0.068 (0.063, 0.074)",+,0.068,"0.613 (0.601, 0.631)","0.737 (0.726, 0.752)","0.123 (0.106, 0.148)",0.123,+,1390,UKB: + | AoU: +,++
phecode_618-1,Prolapse of vaginal walls,Genitourinary,"0.568 (0.564, 0.573)","0.659 (0.655, 0.664)","0.091 (0.086, 0.097)",+,0.091,"0.625 (0.613, 0.642)","0.74 (0.73, 0.758)","0.115 (0.098, 0.145)",0.115,+,1297,UKB: + | AoU: +,++
phecode_618-11,Cystocele,Genitourinary,"0.579 (0.574, 0.583)","0.663 (0.656, 0.668)","0.084 (0.079, 0.09)",+,0.084,"0.65 (0.633, 0.672)","0.757 (0.746, 0.772)","0.109 (0.082, 0.129)",0.109,+,876,UKB: + | AoU: +,++
phecode_618-12,Rectocele,Genitourinary,"0.549 (0.543, 0.556)","0.68 (0.672, 0.687)","0.131 (0.122, 0.141)",+,0.131,"0.639 (0.603, 0.672)","0.759 (0.739, 0.786)","0.12 (0.081, 0.164)",0.12,+,453,UKB: + | AoU: +,++
phecode_618-2,Uterine/Uterovaginal prolapse,Genitourinary,"0.586 (0.58, 0.591)","0.638 (0.632, 0.644)","0.052 (0.046, 0.059)",+,0.052,"0.663 (0.644, 0.693)","0.765 (0.744, 0.791)","0.101 (0.081, 0.13)",0.101,+,502,UKB: + | AoU: +,++
phecode_618-5,Prolapse of vaginal vault after hysterectomy,Genitourinary,"0.626 (0.607, 0.649)","0.794 (0.772, 0.818)","0.169 (0.136, 0.194)",+,0.169,"0.767 (0.733, 0.806)","0.81 (0.742, 0.854)","0.037 (-0.029, 0.097)",0.037,ns,121,UKB: + | AoU: ns,+ns
phecode_619,Noninflammatory female genital disorders,Genitourinary,"0.553 (0.551, 0.557)","0.683 (0.679, 0.686)","0.129 (0.125, 0.133)",+,0.129,"0.546 (0.539, 0.551)","0.66 (0.655, 0.666)","0.114 (0.107, 0.124)",0.114,+,13099,UKB: + | AoU: +,++
phecode_619-2,"Disorders of uterus, NEC",Genitourinary,"0.575 (0.566, 0.586)","0.623 (0.614, 0.632)","0.048 (0.039, 0.058)",+,0.048,"0.642 (0.632, 0.649)","0.728 (0.721, 0.733)","0.086 (0.077, 0.095)",0.086,+,6218,UKB: + | AoU: +,++
phecode_619-3,Noninflammatory disorders of cervix,Genitourinary,"0.675 (0.666, 0.685)","0.71 (0.702, 0.721)","0.035 (0.029, 0.04)",+,0.035,"0.56 (0.546, 0.571)","0.719 (0.707, 0.73)","0.161 (0.15, 0.171)",0.161,+,2638,UKB: + | AoU: +,++
phecode_619-4,Noninflammatory disorders of vagina,Genitourinary,"0.561 (0.554, 0.564)","0.705 (0.702, 0.709)","0.145 (0.141, 0.148)",+,0.145,"0.568 (0.559, 0.577)","0.699 (0.692, 0.708)","0.131 (0.12, 0.144)",0.131,+,6914,UKB: + | AoU: +,++
phecode_619-5,Noninflammatory disorders of vulva and perineum,Genitourinary,"0.501 (0.495, 0.507)","0.713 (0.708, 0.717)","0.212 (0.205, 0.221)",+,0.212,"0.554 (0.542, 0.566)","0.727 (0.715, 0.741)","0.174 (0.15, 0.193)",0.174,+,2118,UKB: + | AoU: +,++
phecode_620,Dysplasia of female genital organs,Genitourinary,"0.716 (0.702, 0.729)","0.754 (0.739, 0.768)","0.038 (0.028, 0.048)",+,0.038,"0.652 (0.637, 0.664)","0.764 (0.751, 0.776)","0.113 (0.097, 0.125)",0.113,+,931,UKB: + | AoU: +,++
phecode_621,Endometrial hyperplasia,Genitourinary,"0.554 (0.537, 0.574)","0.676 (0.653, 0.695)","0.121 (0.102, 0.144)",+,0.121,"0.547 (0.512, 0.586)","0.733 (0.696, 0.76)","0.185 (0.139, 0.232)",0.185,+,232,UKB: + | AoU: +,++
phecode_622,Polyp of female genital organs,Genitourinary,"0.591 (0.584, 0.598)","0.621 (0.615, 0.626)","0.029 (0.023, 0.036)",+,0.029,"0.513 (0.493, 0.535)","0.691 (0.666, 0.736)","0.179 (0.146, 0.229)",0.179,+,350,UKB: + | AoU: +,++
phecode_622-2,Mucous polyp of cervix,Genitourinary,"0.658 (0.642, 0.667)","0.682 (0.672, 0.69)","0.024 (0.016, 0.035)",+,0.024,"0.516 (0.493, 0.543)","0.704 (0.669, 0.737)","0.187 (0.156, 0.227)",0.187,+,322,UKB: + | AoU: +,++
phecode_623,Hypertrophy of female genital organs,Genitourinary,"0.461 (0.455, 0.468)","0.719 (0.714, 0.725)","0.258 (0.248, 0.267)",+,0.258,"0.525 (0.51, 0.542)","0.732 (0.718, 0.754)","0.208 (0.182, 0.234)",0.208,+,1181,UKB: + | AoU: +,++
phecode_624,Symptoms involving female genital tract,Genitourinary,"0.569 (0.558, 0.577)","0.716 (0.705, 0.725)","0.148 (0.131, 0.162)",+,0.148,"0.68 (0.656, 0.708)","0.819 (0.797, 0.846)","0.137 (0.112, 0.174)",0.137,+,316,UKB: + | AoU: +,++
phecode_624-1,Dystrophy of female genital tract,Genitourinary,"0.563 (0.551, 0.576)","0.727 (0.718, 0.74)","0.164 (0.149, 0.18)",+,0.164,"0.682 (0.65, 0.72)","0.83 (0.796, 0.865)","0.142 (0.112, 0.189)",0.142,+,200,UKB: + | AoU: +,++
phecode_624-2,Atrophy of female genital tract,Genitourinary,"0.57 (0.555, 0.582)","0.704 (0.69, 0.72)","0.133 (0.117, 0.15)",+,0.133,"0.722 (0.673, 0.769)","0.824 (0.791, 0.857)","0.101 (0.047, 0.142)",0.101,+,107,UKB: + | AoU: +,++
phecode_625,Pain and other symptoms associated with female genital organs,Genitourinary,"0.614 (0.609, 0.62)","0.725 (0.722, 0.729)","0.111 (0.106, 0.116)",+,0.111,"0.614 (0.607, 0.622)","0.71 (0.701, 0.716)","0.095 (0.086, 0.105)",0.095,+,5912,UKB: + | AoU: +,++
phecode_625-1,Dyspareunia,Genitourinary,"0.648 (0.64, 0.655)","0.749 (0.742, 0.758)","0.101 (0.094, 0.108)",+,0.101,"0.637 (0.621, 0.657)","0.796 (0.782, 0.81)","0.158 (0.128, 0.173)",0.158,+,894,UKB: + | AoU: +,++
phecode_625-3,Vulvodynia,Genitourinary,"0.412 (0.379, 0.429)","0.766 (0.745, 0.786)","0.354 (0.324, 0.38)",+,0.354,"0.582 (0.515, 0.65)","0.768 (0.683, 0.832)","0.179 (0.073, 0.282)",0.179,+,101,UKB: + | AoU: +,++
phecode_626,Disorders of menstruation and other abnormal bleeding from female genital tract,Genitourinary,"0.792 (0.786, 0.798)","0.816 (0.81, 0.821)","0.024 (0.022, 0.025)",+,0.024,"0.702 (0.691, 0.708)","0.775 (0.764, 0.781)","0.073 (0.07, 0.076)",0.073,+,5147,UKB: + | AoU: +,++
phecode_626-1,Irregular menstrual cycle/bleeding,Genitourinary,"0.871 (0.868, 0.873)","0.886 (0.883, 0.889)","0.016 (0.014, 0.017)",+,0.016,"0.779 (0.774, 0.786)","0.825 (0.82, 0.832)","0.046 (0.044, 0.049)",0.046,+,3890,UKB: + | AoU: +,++
phecode_626-11,Absent or infrequent menstruation,Genitourinary,"0.847 (0.839, 0.853)","0.871 (0.865, 0.877)","0.025 (0.022, 0.027)",+,0.025,"0.797 (0.783, 0.808)","0.855 (0.841, 0.868)","0.058 (0.051, 0.063)",0.058,+,1252,UKB: + | AoU: +,++
phecode_626-13,Irregular menstrual cycle,Genitourinary,"0.882 (0.879, 0.885)","0.9 (0.897, 0.902)","0.018 (0.017, 0.02)",+,0.018,"0.773 (0.768, 0.778)","0.822 (0.817, 0.827)","0.049 (0.046, 0.052)",0.049,+,3619,UKB: + | AoU: +,++
phecode_626-14,Irregular menstrual bleeding,Genitourinary,"0.868 (0.863, 0.873)","0.883 (0.877, 0.888)","0.014 (0.01, 0.016)",+,0.014,"0.765 (0.739, 0.787)","0.839 (0.808, 0.855)","0.074 (0.064, 0.086)",0.074,+,243,UKB: + | AoU: +,++
phecode_626-2,Dysmenorrhea,Genitourinary,"0.896 (0.891, 0.902)","0.909 (0.903, 0.914)","0.013 (0.01, 0.017)",+,0.013,"0.784 (0.774, 0.794)","0.839 (0.829, 0.85)","0.056 (0.05, 0.06)",0.056,+,914,UKB: + | AoU: +,++
phecode_627,Menopausal and postmenopausal disorders,Genitourinary,"0.676 (0.672, 0.679)","0.737 (0.734, 0.739)","0.061 (0.059, 0.063)",+,0.061,"0.628 (0.623, 0.636)","0.607 (0.6, 0.614)","-0.022 (-0.035, -0.01)",-0.022,-,8089,UKB: + | AoU: -,+-
phecode_627-1,Postmenopausal bleeding,Genitourinary,"0.556 (0.552, 0.56)","0.651 (0.647, 0.656)","0.096 (0.09, 0.101)",+,0.096,"0.65 (0.637, 0.661)","0.697 (0.684, 0.71)","0.046 (0.024, 0.064)",0.046,+,1367,UKB: + | AoU: +,++
phecode_627-2,Symptomatic menopause,Genitourinary,"0.759 (0.757, 0.762)","0.814 (0.811, 0.816)","0.054 (0.053, 0.056)",+,0.054,"0.714 (0.709, 0.72)","0.49 (0.484, 0.497)","-0.223 (-0.235, -0.213)",-0.223,-,5769,UKB: + | AoU: -,+-
phecode_627-3,Postmenopausal atrophic vaginitis,Genitourinary,"0.501 (0.495, 0.506)","0.704 (0.698, 0.709)","0.203 (0.197, 0.21)",+,0.203,"0.719 (0.709, 0.728)","0.763 (0.748, 0.773)","0.044 (0.026, 0.058)",0.044,+,1893,UKB: + | AoU: +,++
phecode_627-4,Menorrhagia/Excessive and frequent menstruation,Genitourinary,"0.879 (0.876, 0.881)","0.891 (0.888, 0.892)","0.012 (0.01, 0.013)",+,0.012,"0.724 (0.717, 0.731)","0.782 (0.774, 0.79)","0.058 (0.055, 0.061)",0.058,+,1985,UKB: + | AoU: +,++
phecode_628,Ovarian cyst,Genitourinary,"0.586 (0.578, 0.593)","0.643 (0.635, 0.651)","0.056 (0.049, 0.065)",+,0.056,"0.702 (0.692, 0.71)","0.726 (0.713, 0.736)","0.024 (0.011, 0.037)",0.024,+,2794,UKB: + | AoU: +,++
phecode_628-1,Follicular cyst of ovary,Genitourinary,"0.803 (0.775, 0.836)","0.796 (0.771, 0.823)","-0.007 (-0.029, 0.017)",ns,-0.007,"0.707 (0.67, 0.741)","0.827 (0.778, 0.855)","0.123 (0.083, 0.152)",0.123,+,137,UKB: ns | AoU: +,ns+
phecode_628-2,Corpus luteum cyst or hematoma,Genitourinary,"0.578 (0.571, 0.588)","0.642 (0.636, 0.65)","0.064 (0.057, 0.072)",+,0.064,"0.702 (0.692, 0.71)","0.726 (0.714, 0.735)","0.024 (0.011, 0.037)",0.024,+,2794,UKB: + | AoU: +,++
phecode_628-3,polycystic ovary syndrome,Genitourinary,"0.754 (0.714, 0.804)","0.777 (0.73, 0.814)","0.02 (-0.025, 0.054)",ns,0.02,"0.817 (0.8, 0.836)","0.734 (0.72, 0.755)","-0.085 (-0.106, -0.059)",-0.085,-,677,UKB: ns | AoU: -,ns-
phecode_629,Female infertility,Genitourinary,"0.894 (0.877, 0.917)","0.9 (0.882, 0.918)","0.004 (-0.007, 0.017)",ns,0.004,"0.803 (0.792, 0.814)","0.855 (0.836, 0.864)","0.05 (0.039, 0.058)",0.05,+,651,UKB: ns | AoU: +,ns+
phecode_660,Infection of the skin,Derm,"0.502 (0.5, 0.503)","0.683 (0.682, 0.685)","0.182 (0.18, 0.184)",+,0.182,"0.511 (0.507, 0.518)","0.613 (0.608, 0.619)","0.102 (0.096, 0.106)",0.102,+,17355,UKB: + | AoU: +,++
phecode_660-1,Fungal infection of the skin,Derm,"0.527 (0.524, 0.529)","0.697 (0.695, 0.699)","0.17 (0.168, 0.173)",+,0.17,"0.585 (0.577, 0.59)","0.675 (0.669, 0.684)","0.091 (0.082, 0.1)",0.091,+,6018,UKB: + | AoU: +,++
phecode_660-11,Candidiasis of skin and nails,Derm,"0.525 (0.516, 0.535)","0.753 (0.747, 0.761)","0.228 (0.218, 0.237)",+,0.228,"0.619 (0.566, 0.679)","0.718 (0.663, 0.784)","0.096 (0.027, 0.18)",0.096,+,155,UKB: + | AoU: +,++
phecode_660-12,Dermatophytosis,Derm,"0.535 (0.532, 0.538)","0.697 (0.694, 0.7)","0.162 (0.159, 0.165)",+,0.162,"0.601 (0.593, 0.608)","0.679 (0.673, 0.69)","0.078 (0.069, 0.088)",0.078,+,5490,UKB: + | AoU: +,++
phecode_660-13,Pityriasis versicolor,Derm,"0.633 (0.616, 0.65)","0.709 (0.698, 0.724)","0.077 (0.067, 0.088)",+,0.077,"0.653 (0.628, 0.696)","0.656 (0.629, 0.71)","0.003 (-0.037, 0.048)",0.003,ns,377,UKB: + | AoU: ns,+ns
phecode_660-2,Bacterial infection of the skin,Derm,"0.512 (0.505, 0.522)","0.677 (0.672, 0.684)","0.166 (0.156, 0.175)",+,0.166,"0.517 (0.5, 0.549)","0.66 (0.628, 0.687)","0.144 (0.103, 0.174)",0.144,+,559,UKB: + | AoU: +,++
phecode_660-21,Impetigo,Derm,"0.535 (0.528, 0.544)","0.685 (0.677, 0.692)","0.151 (0.136, 0.16)",+,0.151,"0.522 (0.5, 0.554)","0.661 (0.624, 0.691)","0.14 (0.079, 0.19)",0.14,+,449,UKB: + | AoU: +,++
phecode_660-4,Carbuncle and furuncle,Derm,"0.527 (0.52, 0.536)","0.718 (0.714, 0.725)","0.192 (0.184, 0.199)",+,0.192,"0.547 (0.524, 0.568)","0.725 (0.704, 0.758)","0.177 (0.144, 0.204)",0.177,+,578,UKB: + | AoU: +,++
phecode_660-6,Cellulitis and abscess,Derm,"0.53 (0.526, 0.533)","0.671 (0.669, 0.674)","0.142 (0.139, 0.144)",+,0.142,"0.538 (0.533, 0.543)","0.635 (0.628, 0.639)","0.096 (0.09, 0.103)",0.096,+,12077,UKB: + | AoU: +,++
phecode_660-7,Pilonidal cyst,Derm,"0.644 (0.626, 0.668)","0.714 (0.692, 0.733)","0.07 (0.053, 0.089)",+,0.07,"0.668 (0.626, 0.718)","0.645 (0.607, 0.688)","-0.02 (-0.1, 0.037)",-0.02,ns,176,UKB: + | AoU: ns,+ns
phecode_661,Viral exanthemata NOS,Derm,"0.589 (0.565, 0.629)","0.691 (0.665, 0.717)","0.101 (0.073, 0.123)",+,0.101,"0.527 (0.5, 0.599)","0.59 (0.548, 0.638)","0.06 (-0.023, 0.111)",0.06,ns,163,UKB: + | AoU: ns,+ns
phecode_662,Rosacea,Derm,"0.519 (0.513, 0.523)","0.671 (0.666, 0.676)","0.152 (0.147, 0.161)",+,0.152,"0.592 (0.576, 0.606)","0.699 (0.681, 0.719)","0.106 (0.086, 0.137)",0.106,+,1464,UKB: + | AoU: +,++
phecode_663,Bullous disorders,Derm,"0.624 (0.603, 0.643)","0.694 (0.672, 0.717)","0.072 (0.047, 0.091)",+,0.072,"0.759 (0.716, 0.801)","0.775 (0.745, 0.817)","0.022 (-0.027, 0.085)",0.022,ns,206,UKB: + | AoU: ns,+ns
phecode_663-6,Acantholytic Disorders*,Derm,"0.738 (0.705, 0.81)","0.785 (0.731, 0.836)","0.04 (-0.006, 0.082)",ns,0.04,"0.832 (0.791, 0.865)","0.883 (0.845, 0.914)","0.054 (0.01, 0.109)",0.054,+,114,UKB: ns | AoU: +,ns+
phecode_664,Papulosquamous disorders,Derm,"0.545 (0.534, 0.554)","0.681 (0.671, 0.688)","0.136 (0.13, 0.143)",+,0.136,"0.609 (0.589, 0.639)","0.692 (0.658, 0.711)","0.082 (0.044, 0.105)",0.082,+,424,UKB: + | AoU: +,++
phecode_664-1,"Lichen planus, nitidus, or striatus",Derm,"0.595 (0.586, 0.605)","0.704 (0.695, 0.712)","0.108 (0.098, 0.115)",+,0.108,"0.69 (0.655, 0.725)","0.728 (0.694, 0.759)","0.037 (0.009, 0.075)",0.037,+,270,UKB: + | AoU: +,++
phecode_664-2,Pityriasis,Derm,"0.581 (0.562, 0.593)","0.683 (0.672, 0.694)","0.101 (0.089, 0.114)",+,0.101,"0.719 (0.67, 0.764)","0.635 (0.537, 0.683)","-0.083 (-0.158, -0.028)",-0.083,-,135,UKB: + | AoU: -,+-
phecode_664-21,Pityriasis rosea,Derm,"0.592 (0.58, 0.609)","0.685 (0.67, 0.702)","0.093 (0.083, 0.109)",+,0.093,"0.723 (0.65, 0.776)","0.653 (0.568, 0.708)","-0.06 (-0.189, 0.014)",-0.06,ns,108,UKB: + | AoU: ns,+ns
phecode_665,Psoriasis,Derm,"0.493 (0.485, 0.499)","0.663 (0.657, 0.67)","0.171 (0.161, 0.178)",+,0.171,"0.55 (0.531, 0.565)","0.633 (0.615, 0.647)","0.083 (0.063, 0.101)",0.083,+,1173,UKB: + | AoU: +,++
phecode_665-1,Psoriasis vulgaris*,Derm,"0.465 (0.44, 0.487)","0.795 (0.765, 0.82)","0.332 (0.296, 0.362)",+,0.332,"0.586 (0.539, 0.622)","0.828 (0.786, 0.858)","0.24 (0.178, 0.305)",0.24,+,215,UKB: + | AoU: +,++
phecode_665-2,Psoriatic arthropathy,Derm,"0.533 (0.517, 0.55)","0.793 (0.773, 0.813)","0.26 (0.231, 0.296)",+,0.26,"0.561 (0.528, 0.595)","0.741 (0.705, 0.771)","0.179 (0.14, 0.234)",0.179,+,264,UKB: + | AoU: +,++
phecode_666,Urticaria,Derm,"0.536 (0.531, 0.542)","0.693 (0.688, 0.697)","0.157 (0.15, 0.161)",+,0.157,"0.617 (0.601, 0.634)","0.637 (0.621, 0.653)","0.021 (-0.005, 0.04)",0.021,ns,1772,UKB: + | AoU: ns,+ns
phecode_666-1,Allergic urticaria,Derm,"0.565 (0.553, 0.579)","0.703 (0.688, 0.712)","0.138 (0.123, 0.151)",+,0.138,"0.574 (0.531, 0.624)","0.638 (0.59, 0.703)","0.065 (-0.001, 0.127)",0.065,ns,189,UKB: + | AoU: ns,+ns
phecode_666-2,Idiopathic urticaria,Derm,"0.559 (0.538, 0.58)","0.702 (0.684, 0.72)","0.142 (0.118, 0.161)",+,0.142,"0.663 (0.632, 0.696)","0.697 (0.645, 0.74)","0.032 (-0.03, 0.085)",0.032,ns,212,UKB: + | AoU: ns,+ns
phecode_666-4,Dermatographic urticaria,Derm,"0.536 (0.475, 0.587)","0.711 (0.672, 0.75)","0.169 (0.119, 0.231)",+,0.169,"0.622 (0.57, 0.659)","0.706 (0.671, 0.747)","0.085 (0.015, 0.161)",0.085,+,217,UKB: + | AoU: +,++
phecode_667,Erythematous conditions,Derm,"0.553 (0.543, 0.566)","0.658 (0.649, 0.669)","0.105 (0.092, 0.115)",+,0.105,"0.557 (0.535, 0.571)","0.672 (0.659, 0.686)","0.115 (0.1, 0.131)",0.115,+,1765,UKB: + | AoU: +,++
