endpoint,phecode_string,phecode_category,Age+Sex,Age+Sex+MedicalHistory,delta_agesex,sign_agesex,delta_median_agesex,Age+Sex_aou,Age+Sex+MedicalHistory_aou,delta_agesex_aou,delta_median_agesex_aou,sign_agesex_aou,num_incident_events,sign_agg,label
phecode_603,Disorders and symptoms of testis,Genitourinary,"0.506 (0.498, 0.511)","0.663 (0.658, 0.667)","0.158 (0.151, 0.163)",+,0.158,"0.525 (0.502, 0.543)","0.746 (0.732, 0.767)","0.222 (0.199, 0.259)",0.222,+,1241,UKB: + | AoU: +,++
phecode_603-1,Hydrocele,Genitourinary,"0.571 (0.561, 0.58)","0.624 (0.615, 0.635)","0.053 (0.041, 0.062)",+,0.053,"0.532 (0.501, 0.568)","0.753 (0.732, 0.773)","0.22 (0.199, 0.252)",0.22,+,538,UKB: + | AoU: +,++
phecode_603-2,Spermatocele,Genitourinary,"0.503 (0.492, 0.512)","0.68 (0.67, 0.687)","0.178 (0.166, 0.19)",+,0.178,"0.537 (0.5, 0.57)","0.783 (0.744, 0.817)","0.247 (0.205, 0.293)",0.247,+,255,UKB: + | AoU: +,++
phecode_603-5,Orchitis and epididymitis,Genitourinary,"0.504 (0.496, 0.514)","0.681 (0.673, 0.688)","0.177 (0.166, 0.187)",+,0.177,"0.529 (0.496, 0.563)","0.749 (0.709, 0.783)","0.218 (0.167, 0.261)",0.218,+,322,UKB: + | AoU: +,++
phecode_603-6,Scrotal pain*,Genitourinary,"0.806 (0.802, 0.81)","0.881 (0.878, 0.885)","0.076 (0.069, 0.08)",+,0.076,"0.835 (0.826, 0.844)","0.858 (0.847, 0.87)","0.023 (0.01, 0.041)",0.023,+,660,UKB: + | AoU: +,++
phecode_604,Disorders of penis,Genitourinary,"0.501 (0.496, 0.509)","0.664 (0.659, 0.669)","0.163 (0.154, 0.17)",+,0.163,"0.508 (0.5, 0.525)","0.622 (0.605, 0.639)","0.113 (0.095, 0.132)",0.113,+,2035,UKB: + | AoU: +,++
phecode_604-1,Redundant prepuce and phimosis,Genitourinary,"0.478 (0.458, 0.495)","0.676 (0.665, 0.692)","0.2 (0.183, 0.221)",+,0.2,"0.519 (0.501, 0.557)","0.728 (0.675, 0.775)","0.206 (0.137, 0.272)",0.206,+,160,UKB: + | AoU: +,++
phecode_604-3,Peyronie's disease,Genitourinary,"0.511 (0.5, 0.525)","0.658 (0.644, 0.672)","0.147 (0.13, 0.166)",+,0.147,"0.593 (0.556, 0.647)","0.789 (0.754, 0.833)","0.195 (0.153, 0.252)",0.195,+,147,UKB: + | AoU: +,++
phecode_604-5,Balanoposthitis,Genitourinary,"0.523 (0.512, 0.536)","0.7 (0.692, 0.708)","0.177 (0.162, 0.188)",+,0.177,"0.531 (0.498, 0.583)","0.779 (0.747, 0.807)","0.25 (0.182, 0.297)",0.25,+,267,UKB: + | AoU: +,++
phecode_605,Male sexual dysfuction,Genitourinary,"0.541 (0.538, 0.544)","0.716 (0.713, 0.721)","0.175 (0.171, 0.179)",+,0.175,"0.603 (0.592, 0.616)","0.682 (0.67, 0.691)","0.077 (0.066, 0.087)",0.077,+,3340,UKB: + | AoU: +,++
phecode_605-1,Male erectile dysfunction,Genitourinary,"0.541 (0.538, 0.545)","0.716 (0.714, 0.72)","0.176 (0.172, 0.179)",+,0.176,"0.605 (0.595, 0.62)","0.785 (0.776, 0.795)","0.178 (0.167, 0.191)",0.178,+,2440,UKB: + | AoU: +,++
phecode_605-2,Ejaculatory dysfunction,Genitourinary,"0.454 (0.389, 0.502)","0.723 (0.667, 0.764)","0.271 (0.215, 0.337)",+,0.271,"0.518 (0.494, 0.565)","0.508 (0.485, 0.528)","-0.01 (-0.061, 0.021)",-0.01,ns,972,UKB: + | AoU: ns,+ns
